OWNER_CIK,OWNER_NAME,Weighted_Return_6M,Weighted_Return_1Y,Weighted_Return_18M,Weighted_SP500_6M,Weighted_SP500_1Y,Weighted_SP500_18M,Weighted_Sector_6M,Weighted_Sector_1Y,Weighted_Sector_18M,Return_vs_SP500_6M,Return_vs_SP500_1Y,Return_vs_SP500_18M,Return_vs_Sector_6M,Return_vs_Sector_1Y,Return_vs_Sector_18M,Avg_Transaction_Value,Total_Transaction_Value,Transaction_Count,Number_of_Companies,Most_Common_Company,Most_Active_Sector,Most_Common_Company_Cap_Category,Earliest_Transaction_Year,Most_Recent_Transaction_Year,Unique_Transaction_Years
1248260,LUCZO STEPHEN J,51847670911520.50,53877805796232.30,52562273003967.90,0.08,0.17,0.26,0.05,0.17,0.30,51847670911520.40,53877805796232.10,52562273003967.60,51847670911520.40,53877805796232.10,52562273003967.60,2359131.071,33027835,14,3,T,Communication Services,Large Cap,2016,2023,5
1248371,HANKOWSKY WILLIAM P,0.07,0.84,1.06,0.23,0.46,0.60,0.14,0.58,0.82,-0.16,0.38,0.46,-0.07,0.26,0.24,104553.125,209106.25,2,1,CFG,Financials,Large Cap,2020,2020,1
1248750,CLARK KEVIN P,0.12,-0.04,-0.07,0.05,0.07,0.12,0.12,0.12,0.21,0.06,-0.12,-0.18,-0.01,-0.16,-0.27,1369966.65,2739933.3,2,1,APTV,Consumer Discretionary,Large Cap,2017,2018,2
1250209,MORGAN MICHAEL C,-0.32,-0.23,-0.28,0.07,0.12,0.23,0.11,0.19,0.10,-0.39,-0.34,-0.51,-0.44,-0.41,-0.38,1417057,5668228,4,1,KMI,Energy,Large Cap,2015,2016,2
1250459,WOMBLE DUSTIN R,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,,,0,0,0
1250570,PAGE GREGORY R,0.54,0.59,0.77,0.13,0.19,0.32,0.12,0.17,0.26,0.42,0.40,0.45,0.42,0.43,0.51,142854,1428540,10,3,MMM,Industrials,Large Cap,2015,2020,5
1251299,LUCIER GREGORY T,0.19,0.79,1.08,0.02,0.11,0.28,0.05,0.14,0.27,0.18,0.68,0.79,0.14,0.65,0.81,104286.6667,312860,3,1,CTLT,Health Care,Large Cap,2019,2020,2
1251487,TORGOW GARY,0.04,0.05,0.28,0.04,0.15,0.20,0.05,0.07,0.10,0.00,-0.11,0.08,-0.01,-0.02,0.18,237034.5,948138,4,2,HBAN,Financials,Large Cap,2019,2023,3
1251544,SMUCKER MARK T,0.16,0.15,0.15,0.11,0.00,0.00,0.09,0.00,0.00,0.05,0.15,0.15,0.07,0.15,0.15,33350.28333,100050.85,3,1,KMB,Consumer Staples,Large Cap,2024,2024,1
1251547,OATEY GARY A,-0.02,-0.16,-0.20,0.12,0.16,0.12,-0.01,-0.02,-0.01,-0.14,-0.32,-0.32,-0.01,-0.14,-0.19,107300,107300,1,1,SJM,Consumer Staples,Large Cap,2017,2017,1
